time_sim,D_sim_n1,D_sim_n2,D_sim_n3,D_sim_n4
1.2338996338110348,1.0,1.0,1.0,1.0
1.920535056220849,1.7,1.6,1.3,1.5
2.9283780263573447,2.3,2.3,1.5,1.9
4.407689199801744,2.8,2.7,1.8,2.4
6.5790210567685765,3.7,3.25,2.3499999999999996,2.8
9.766100366188965,4.800000000000001,3.9666666666666663,2.6666666666666665,3.266666666666667
14.444093042409655,6.88,5.08,3.4200000000000004,4.159999999999999
21.310447266507797,9.757142857142856,6.1,4.1000000000000005,5.3428571428571425
31.388876967872758,12.56,7.2,5.16,6.529999999999999
46.18198870231674,17.186666666666667,8.7,6.266666666666667,8.466666666666667
67.89530727198508,23.41363636363636,10.486363636363635,7.463636363636362,10.15
99.76610036618897,31.574193548387093,12.696774193548384,9.138709677419353,12.251612903225807
146.54602712839588,42.389361702127665,15.16595744680852,11.463829787234049,14.378723404255325
215.2095693693772,55.92028985507246,18.73913043478261,13.789855072463771,17.08115942028985
315.99386638302695,72.65346534653467,22.39801980198022,17.303960396039603,20.27821782178218
463.9249837274667,97.7952702702703,26.558108108108108,21.62770270270272,23.912162162162172
681.0581694241498,130.91658986175113,30.804608294930865,24.979262672811046,28.9935483870968
999.766100366189,172.9330188679245,38.09402515723278,29.817924528301866,34.4896226415094
1467.565367988258,225.409829059829,46.703846153846165,36.76688034188047,41.52927350427352
2154.200790398071,295.34847161572037,56.77525473071317,43.21470160116439,50.90436681222702
3162.0437605345683,390.30704365079373,68.63769841269847,52.2725198412698,62.05734126984137
4641.354933978966,513.3265043948613,80.85483434753262,64.14868154158196,76.36659905341446
6812.686790945797,674.7966374942417,97.14771994472557,78.73859972362919,91.64187010594213
9999.766100366189,883.5311794228351,117.59959222082847,94.59143663739057,112.00548933500609
