time_ana,D_ana_n1,D_ana_n2,D_ana_n3,D_ana_n4
0,0.0,0.0,0.0,0.0
2,1.394987948720908,1.3942884073612563,1.3755687277043518,1.0448155280216251
4,2.439713258466294,2.4349776548580473,2.3627538639245853,1.641704840097892
6,3.3672823367025524,3.3546855953255172,3.208753229716572,2.1088091099691053
8,4.228190381278258,4.204259585197739,3.9715188221560043,2.5058085993084407
10,5.044039541467391,5.005698607000152,4.6768131514554385,2.8571430262696036
12,5.826537480241927,5.771053773023461,5.338962587689476,3.1756793490855477
14,6.582911290399839,6.5078378368354795,5.96698053815148,3.469181830502425
16,7.318011735450583,7.221138892125185,6.567006840310091,3.742762781403251
18,8.035291552214218,7.9146085269916755,7.143463931339503,4.000000266620985
20,8.737317867520176,8.590982265916558,7.699672044520566,4.2435144534969576
22,9.426064703456325,9.252378262703367,8.23820507307893,4.475292241751762
24,10.103091325698447,9.900480372605497,8.7611100306456,4.696882880836022
26,10.76965663316377,10.536656164150248,9.270049217525838,4.909522102093244
28,11.426795645533332,11.162036210418051,9.76639611729931,5.114214312517894
30,12.075372521533282,11.777569303612715,10.251302383816622,5.311789057478383
32,12.71611831353791,12.384061949375505,10.725745879408548,5.502940885349356
34,13.349658546209364,12.982207338913819,11.190565986245055,5.6882582348415776
36,13.976533812877312,13.57260707394597,11.646490127548198,5.868244845786751
38,14.597215378472695,14.155787690546715,12.094153965978181,6.043335858690449
40,15.212117328390054,14.73221357032446,12.534117199911456,6.213910268937974
42,15.82160602925332,15.302297033774709,12.966875922603293,6.380300555959799
44,16.426007665002352,15.86640640700405,13.392872504518843,6.542800306127838
46,17.025614291275016,16.42487252439844,13.812503562291486,6.701670298333197
48,17.62068875559494,16.977994029868718,14.226126456587775,6.857143420171768
50,18.21146873987644,17.52604174576654,14.634064647388158,7.009428683924505
52,18.798170052300645,18.06926224293664,15.036612069982512,7.15871447521646
54,19.380989466115196,18.607880924575937,15.434036913924517,7.305171345535068
56,19.96010703638508,19.142104553058527,15.826584718885822,7.448954273718542
58,20.535688070433338,19.67212340395911,16.214481012793094,7.590204580740564
60,21.107884813746704,20.198113113522922,16.59793357354257,7.729051560156069
62,21.676837892331317,20.720236263386163,16.97713436808316,7.865613865764167
64,22.24267755402535,21.238643747646996,17.352261224382975,8.00000070014273
66,22.805524737466165,21.75347595313621,17.723479274008046,8.132312832873433
68,23.365492016810247,22.264863804301314,18.090942228546545,8.262643497221989
70,23.922684379563524,22.772929627137962,18.454793433901447,8.391079122007875
72,24.477199982677828,23.27778798777634,18.815166893658823,8.517700045050754
74,25.029130754673186,23.779546363958335,19.1721880873142,8.642581074847115
76,25.578562974924484,24.278305790716885,19.525974756988518,8.765792031526447
78,26.125577731208054,24.774161373258075,19.87663753120652,8.887398168923966
80,26.670251395775406,25.26720281867599,20.224280572114072,9.0074606171131
82,27.212655978997656,25.757514834385173,20.5690020590409,9.126036704977096
84,27.752859510512796,26.24517755539173,20.910894707724488,9.24318031163234
86,28.29092632798664,26.730266870547066,21.250046165676846,9.358942128081098
88,28.826917376114686,27.21285475917615,21.586539420499008,9.473369930249824
90,29.360890451654157,27.693009568435926,21.920453135548694,9.586508800027225
92,29.892900437884936,28.170796278517376,22.251861970894055,9.698401337076218
94,30.42299952148027,28.646276748256533,22.580836880366718,9.809087854182442
96,30.95123735625175,29.11950990207349,22.907445336773364,9.918606521983023
98,31.477661241727787,29.590551932815917,23.23175157678857,10.026993528671712
100,32.00231632743718,30.05945653242169,23.553816880154198,10.13428326519952
102,32.5252456852708,30.526274977501128,23.873699670971533,10.240508383706375
104,33.04649049676128,30.99105634095523,24.191455773724677,10.345699967023746
106,33.56609014859343,31.453847602236248,24.507138545176357,10.449887610728712
108,34.08408233642992,31.914693766563786,24.82079901736214,10.553099513535372
110,34.60050319849767,32.37363801677123,25.132486080701202,10.65536259648059
112,35.11538737208139,32.83072177976858,25.442246562567693,10.756702549068969
114,35.62876810783414,33.28598485685166,25.75012538413941,10.85714393054043
116,36.14067733996005,33.739465504886596,26.05616565724267,10.95671022977788
118,36.65114575406179,34.191200514775524,26.360408777954053,11.055423923247217
120,37.16020287409177,34.64122531104809,26.662894546112383,11.153306551111475
122,37.66787710649678,35.089574003663714,26.963661226482568,11.250378753447697
124,38.174195813342585,35.53627947203669,27.26274564935636,11.346660333720553
126,38.67918536387075,35.98137342486976,27.56018328168749,11.44217030236283
128,39.18287118288944,36.42488645637717,27.856008293873025,11.536926917548193
130,39.68527781162774,36.86684811639258,28.15025364351915,11.630947737641867
132,40.186428931292454,37.30728693856972,28.44295110819032,11.724249639373475
134,40.68634740445767,37.74623048851943,28.734131342503208,11.816848852590025
136,41.18505534776609,38.183705447053924,29.023823978032794,11.908761023927326
138,41.682574150542074,38.61973763261764,29.31205764919152,12.000001230847522
140,42.178924491671495,39.054352021706,29.598860016707466,12.090583994206396
142,42.67412638495724,39.487572801258,29.88425783006155,12.180523317038876
144,43.16819923157948,39.91942342907504,30.168276999676088,12.269832729805989
146,43.661161816315236,40.34992663070245,30.45094259196432,12.358525284571094
148,44.15303234030725,40.779104437530734,30.73227887448215,12.446613582505409
150,44.643828464312946,41.20697823673172,31.012309375480545,12.534109810922569
152,45.13356732307558,41.633568788491516,31.29105690378309,12.621025754241032
154,45.62226553898672,42.05889624240399,31.568543567678347,12.707372804379384
156,46.10993925017762,42.48298017018001,31.844790813628133,12.793161984228007
158,46.59660414220607,42.90583960244582,32.119819469919314,12.87840397433449
160,47.0822754501043,43.32749303181027,32.39364974954693,12.963109113150947
162,47.566967979552786,43.7479584376577,32.666301279392606,13.047287414423378
164,48.05069613334679,44.16725331696621,32.937793136703924,13.130948589309726
166,48.533473922468,44.58539469755431,33.20814386435667,13.21410205485324
168,49.015314976827675,45.00239915093216,33.47737148566061,13.296756942206864
170,49.49623256346286,45.41828281364163,33.74549352943459,13.37892211150144
172,49.97623960663633,45.833061410768494,34.01252705770619,13.460606168403427
174,50.455348691691114,46.24675026084894,34.278488671007,13.541817466402138
176,50.93357207940406,46.6593642927758,34.54339452814325,13.622564118370816
178,51.41092172606874,47.07091806927887,34.807260373877206,13.702854013140358
180,51.887409287599986,47.48142579204985,35.070101544551065,13.782694818143613
182,52.36304612670406,47.890901310374915,35.33193297794163,13.862093984762424
184,52.83784332386768,48.29935813413929,35.59276922838477,13.94105875703494
186,53.31181168745412,48.706809445797504,35.852624480667615,14.019596179603067
188,53.78496178583455,49.113268137657556,36.11151259434956,14.097713124869848
190,54.257303931830236,49.51874679434541,36.36944708222567,14.175416278656092
192,54.728848191128286,49.92325770281108,36.626441121895795,14.252712146754709
194,55.199604393139516,50.32681286513038,36.88250757070538,14.329607063634734
196,55.66958214053781,50.72942400979842,37.13765897886814,14.406107199985554
198,56.13879083181782,51.13110261805083,37.391907620580945,14.482218581469043
200,56.607239648072245,51.53185990885403,37.645265475687545,14.557947076727778
202,57.07493756338282,51.931706851160115,37.89774424397799,14.633298405709981
204,57.54189335204398,52.330654172496516,38.149355355110565,14.708278145287748
206,58.00811559774994,52.72871236982482,38.400109981252825,14.782891736561014
208,58.47361270861573,53.12589172714429,38.6500190577946,14.857144497164066
210,58.938392907438576,53.52220230443788,38.899093269806585,14.931041612414164
212,59.40246424157497,53.917653949310726,39.147343065637784,15.004588143247425
214,59.86583458810961,54.312256303174316,39.39477866400001,15.077789030142801
216,60.32851166259212,54.70601881157798,39.641410065985845,15.150649100055874
218,60.79050302764652,55.098950734388204,39.88724706691122,15.223173073254877
220,61.251816087674136,55.49106113979312,40.13229924892767,15.29536555844659
222,61.712458096887666,55.88235891380433,40.37657599206983,15.36723105914635
224,62.17243616325138,56.272852764994234,40.620086479642175,15.438773976607488
226,62.63175725676707,56.66255123429589,40.86283970962409,15.509998616398885
228,63.09042821321454,57.05146269950111,41.10484449978209,15.580909191182826
230,63.548455732746035,57.43959537375619,41.34610948565705,15.65150981918982
232,64.0058463857939,57.82695731257939,41.58664312867884,15.721804528827978
234,64.46260661636346,58.213556417827306,41.82645372066124,15.79179726110932
236,64.91874274950695,58.59940044654881,42.065549394083455,15.86149187554672
238,65.37426099215357,58.984497012065795,42.303938123178106,15.930892150551479
240,65.82916743416098,59.36885358531044,42.5416277253264,16.000001784020462
242,66.28346805256386,59.75247749989915,42.77862586687825,16.068824396578552
244,66.7371687146431,60.135375955825985,43.014940067341115,16.13736353384715
246,67.19027518604375,60.51755602907649,43.250577710555895,16.205622672862614
248,67.64279312727608,60.89902466761243,43.48554603979809,16.273605218961524
250,68.09472809607787,61.279788694230014,43.71985216099027,16.34131450748296
252,68.5460855509429,61.65985481078428,43.95350304752923,16.408753806433122
254,68.99687085322073,62.03922960073559,44.18650554313666,16.475926317981706
256,69.44708926906087,62.41791953151166,44.41886636449527,16.542835179835254
258,69.89674597476504,62.795930960869676,44.65059210860193,16.609483469403973
260,70.34584607041762,63.173270152977295,44.88168927157775,16.675874214747694
262,70.79439456209211,63.549943257592574,45.1121642239913,16.7420103798092
264,71.24239636991881,63.92595631960948,45.342023221971814,16.80789487081642
266,71.68985633100954,64.30131528256247,45.5712724112057,16.873530538479965
