time,beta_n1,beta_n2,beta_n3,beta_n4
19.573417814876606,0.7083989952176053,0.7083989952176053,0.7083989952176053,0.7083989952176053
38.31186849557289,0.7325968689836074,0.7325968689836074,0.7325968689836074,0.7325968689836074
74.98942093324558,0.7483663782184351,0.7483663782184351,0.7483663782184351,0.7483663782184351
146.77992676220705,0.7613396501664336,0.7613396501664336,0.7613396501664336,0.7613396501664336
287.29848333536654,0.7727473231099934,0.7727473231099934,0.7727473231099934,0.7727473231099934
562.341325190349,0.7832158377468452,0.7832158377468452,0.7832158377468452,0.7832158377468452
1100.6941712522103,0.7930288723244103,0.7930288723244103,0.7930288723244103,0.7930288723244103
2154.4346900318847,0.8022800904966926,0.8022800904966926,0.8022800904966926,0.8022800904966926
4216.965034285822,0.8109884542222741,0.8109884542222741,0.8109884542222741,0.8109884542222741
8254.04185268019,0.8191819966248741,0.8191819966248741,0.8191819966248741,0.8191819966248741
16155.980984398762,0.8268727960917227,0.8268727960917227,0.8268727960917227,0.8268727960917227
31622.776601683792,0.834087115875055,0.834087115875055,0.834087115875055,0.834087115875055
61896.5818891261,0.8408486409659569,0.8408486409659569,0.8408486409659569,0.8408486409659569
121152.76586285901,0.847184483304485,0.847184483304485,0.847184483304485,0.847184483304485
237137.37056616554,0.8531225562476443,0.8531225562476443,0.8531225562476443,0.8531225562476443
464158.8833612782,0.8586903732589282,0.8586903732589282,0.8586903732589282,0.8586903732589282
908517.575651688,0.8639146659675634,0.8639146659675634,0.8639146659675634,0.8639146659675634
1778279.410038923,0.8688207574013412,0.8688207574013412,0.8688207574013412,0.8688207574013412
3480700.588428413,0.8734324250007843,0.8734324250007843,0.8734324250007843,0.8734324250007843
6812920.690579622,0.8777717756265987,0.8777717756265987,0.8777717756265987,0.8777717756265987
13335214.32163324,0.8818592357022591,0.8818592357022591,0.8818592357022591,0.8818592357022591
26101572.156825386,0.8857136046463476,0.8857136046463476,0.8857136046463476,0.8857136046463476
51089697.74506935,0.8893521382552428,0.8893521382552428,0.8893521382552428,0.8893521382552428
100000000.0,0.8927906509780065,0.8927906509780065,0.8927906509780065,0.8927906509780065
