time_sim,D_sim_n1,D_sim_n2,D_sim_n3,D_sim_n4
1.2338996338110348,1.0,1.0,1.0,1.0
1.920535056220849,1.7,1.9,1.65,1.55
2.9283780263573447,2.3,2.25,2.25,1.95
4.407689199801744,2.7,2.75,2.7,2.4
6.5790210567685765,3.45,3.55,3.5,2.9749999999999996
9.766100366188965,4.433333333333334,4.9,4.466666666666666,3.616666666666667
14.444093042409655,6.33,6.92,5.709999999999999,4.49
21.310447266507797,8.914285714285715,9.55,7.507142857142857,5.364285714285715
31.388876967872758,12.479999999999999,13.040000000000003,9.63,6.375
46.18198870231674,16.95,17.95,12.47,7.796666666666668
67.89530727198508,22.95,24.46136363636363,16.263636363636365,9.920454545454545
99.76610036618897,30.33064516129032,32.34193548387097,21.835483870967746,12.319354838709677
146.54602712839588,41.75212765957446,43.41914893617022,28.22234042553192,15.180851063829792
215.2095693693772,57.94420289855072,59.03405797101448,37.189130434782605,18.797826086956515
315.99386638302695,80.68118811881189,81.35346534653462,48.71336633663366,23.03861386138614
463.9249837274667,113.22770270270273,109.81689189189183,63.82635135135135,27.497972972972963
681.0581694241498,157.59493087557595,146.60276497695853,82.98479262672817,33.248156682027634
999.766100366189,218.794968553459,199.00015723270442,106.81902515723274,39.47767295597487
1467.565367988258,304.0970085470087,270.99722222222226,136.93664529914525,48.179059829059796
2154.200790398071,421.7319505094612,366.11652110625965,177.20014556040752,58.84941775836979
3162.0437605345683,587.852678571428,485.81999007936486,227.1540674603173,70.94662698412711
4641.354933978966,817.7626098715356,645.4014874915476,291.5436781609191,85.33924949290044
6812.686790945797,1136.511331183787,863.170244127132,372.952164900967,103.58846153846223
9999.766100366189,1570.033814303636,1154.5036229611064,476.9447302383949,125.43972710163182
