time,beta_n1,beta_n2,beta_n3,beta_n4
19.573417814876606,0.7846913527855224,0.47081784937094856,0.47081784937094856,0.47081784937094856
38.31186849557289,0.7901242440111745,0.4905622582825249,0.4905622582825249,0.4905622582825249
74.98942093324558,0.7883727555942461,0.4994058117234236,0.4994058117234236,0.4994058117234236
146.77992676220705,0.7838590184107014,0.5038033197043816,0.5038033197043816,0.5038033197043816
287.29848333536654,0.7782604017961032,0.5059049383517611,0.5059049383517611,0.5059049383517611
562.341325190349,0.7722640916616814,0.5068403537334126,0.5068403537334126,0.5068403537334126
1100.6941712522103,0.7661344336430552,0.5071665753954808,0.5071665753954808,0.5071665753954808
2154.4346900318847,0.7599980030732414,0.5071678916242611,0.5071678916242611,0.5071678916242611
4216.965034285822,0.7539297663361384,0.5069985246432217,0.5069985246432217,0.5069985246432217
8254.04185268019,0.7479589699299615,0.5067441175547968,0.5067441175547968,0.5067441175547968
16155.980984398762,0.74211129953343,0.506452990505156,0.506452990505156,0.506452990505156
31622.776601683792,0.7363971199720224,0.5061519582672808,0.5061519582672808,0.5061519582672808
61896.5818891261,0.7308270275826265,0.5058558964475943,0.5058558964475943,0.5058558964475943
121152.76586285901,0.7254079944285561,0.5055725964997667,0.5055725964997667,0.5055725964997667
237137.37056616554,0.7201450577833132,0.5053057620265848,0.5053057620265848,0.5053057620265848
464158.8833612782,0.7150418167733525,0.5050567466218966,0.5050567466218966,0.5050567466218966
908517.575651688,0.7101003253880891,0.5048255640203134,0.5048255640203134,0.5048255640203134
1778279.410038923,0.7053213896095178,0.504611505482718,0.504611505482718,0.504611505482718
3480700.588428413,0.7007045954294899,0.5044134974181125,0.5044134974181125,0.5044134974181125
6812920.690579622,0.6962484646589052,0.5042303156683113,0.5042303156683113,0.5042303156683113
13335214.32163324,0.6919505968128709,0.5040607083652585,0.5040607083652585,0.5040607083652585
26101572.156825386,0.6878078127595922,0.5039034643905552,0.5039034643905552,0.5039034643905552
51089697.74506935,0.6838162971814442,0.5037574485050843,0.5037574485050843,0.5037574485050843
100000000.0,0.679971735894583,0.5036216172942205,0.5036216172942205,0.5036216172942205
