time_sim,D_sim_n1,D_sim_n2,D_sim_n3,D_sim_n4
1.2338996338110348,1.0,1.0,1.0,1.0
1.920535056220849,1.6,1.8,1.9,1.5
2.9283780263573447,2.2,2.4,2.4,2.2
4.407689199801744,2.7,3.1,2.6,2.6
6.5790210567685765,3.45,3.95,3.35,3.5
9.766100366188965,4.566666666666666,5.233333333333333,4.466666666666666,4.8
14.444093042409655,5.92,6.720000000000001,6.08,6.3
21.310447266507797,8.0,8.6,8.82857142857143,8.357142857142858
31.388876967872758,10.71,12.059999999999999,11.940000000000001,11.05
46.18198870231674,14.853333333333332,16.24,15.726666666666667,15.100000000000001
67.89530727198508,21.472727272727273,23.031818181818178,22.954545454545453,21.404545454545453
99.76610036618897,29.158064516129024,31.890322580645158,31.25483870967742,29.48064516129032
146.54602712839588,40.36170212765957,44.14042553191489,42.791489361702126,41.5468085106383
215.2095693693772,58.48260869565218,61.352173913043494,58.279710144927535,57.84492753623189
315.99386638302695,83.43960396039606,84.11881188118814,81.1079207920792,81.2821782178218
463.9249837274667,116.60608108108106,118.24797297297296,112.09662162162164,115.99459459459463
681.0581694241498,164.74470046082945,166.09815668202765,156.09032258064508,164.34009216589862
999.766100366189,232.87955974842788,233.9748427672955,222.5135220125789,230.45566037735847
1467.565367988258,330.9767094017094,327.5318376068376,311.89893162393173,324.79358974358973
2154.200790398071,465.5737991266375,464.6822416302769,446.23624454148495,459.05502183406094
3162.0437605345683,659.376091269842,653.3720238095237,639.8489087301592,648.6780753968255
4641.354933978966,938.7958755916164,928.4375929682238,917.2071670047327,920.118593644354
6812.686790945797,1341.9538000921232,1331.8335789958549,1314.3090280976523,1320.3433440810682
9999.766100366189,1926.3527289836907,1901.0940401505634,1880.5875156838163,1901.0348180677563
