time_sim,D_sim_n1,D_sim_n2,D_sim_n3,D_sim_n4
1.2338996338110348,1.0,1.0,1.0,1.0
1.920535056220849,1.6,1.7,1.7,1.2
2.9283780263573447,2.1,2.4,2.2,1.6
4.407689199801744,2.8,3.0,2.8,1.9
6.5790210567685765,3.8,3.55,3.55,2.35
9.766100366188965,4.766666666666667,4.3,4.433333333333334,2.733333333333333
14.444093042409655,6.08,5.959999999999999,5.78,3.3199999999999994
21.310447266507797,8.214285714285714,8.585714285714285,7.628571428571428,4.1571428571428575
31.388876967872758,11.52,12.059999999999999,10.07,4.6899999999999995
46.18198870231674,15.70666666666667,16.166666666666668,13.413333333333334,5.800000000000001
67.89530727198508,21.9,21.786363636363635,16.69090909090909,7.531818181818182
99.76610036618897,29.435483870967737,28.525806451612905,21.306451612903224,9.816129032258067
146.54602712839588,40.09787234042553,38.131914893617015,27.870212765957444,11.995744680851065
215.2095693693772,55.246376811594196,50.456521739130444,36.42173913043478,14.117391304347827
315.99386638302695,76.6871287128713,66.75247524752473,47.28910891089108,16.967326732673254
463.9249837274667,106.18851351351351,90.84121621621628,59.575675675675654,20.766216216216222
681.0581694241498,146.62626728110595,122.72811059907836,75.54147465437794,24.16221198156679
999.766100366189,202.78805031446544,163.9663522012578,97.46886792452821,29.895911949685544
1467.565367988258,278.62200854700836,217.0117521367522,124.64957264957265,36.65405982905994
2154.200790398071,382.1995633187771,286.74075691411923,158.12285298398825,45.367976710334716
3162.0437605345683,523.5214285714289,384.7408730158734,202.96706349206383,55.184226190476394
4641.354933978966,727.6632183908041,516.1732251521289,260.34557133198115,67.73962136578801
6812.686790945797,1005.0961308152923,685.2679871027179,334.2566098572103,82.3721326577612
9999.766100366189,1381.8777289836894,906.881555834379,425.4727728983702,100.63309284818007
