node_id,D_tmax,alpha_c,normed_alpha_c,beta_exp_rough
293,4171.139280072016,1.64743910207155,0.24321033436712228,0.905063672944364
294,5423.0257558028725,2.2592833280949973,0.3335364888238428,0.9335604167633217
295,3.783788644415529,1.0,0.14762933213209564,0.144481717375909
296,586.4839125479426,1.2074094214085744,0.17824904649254789,0.6920640259426061
297,183.89296096780427,1.0539480679021969,0.15559364936631392,0.5661412764213358
298,545.2101336115942,1.162332222902665,0.17159432978273456,0.6841409798256449
299,545.2101336115942,1.162332222902665,0.17159432978273456,0.6841409798256449
300,757.0179850859271,1.2634089568596403,0.18651622051089634,0.7197765493766001
301,3903.613212128821,1.760073182320741,0.25983842840962323,0.8978666948101421
302,1896.9566790375422,1.3010675379831862,0.19207573169120779,0.81951435324539
303,2126.750822458278,1.4046015241504732,0.207360384922058,0.8319291523568948
304,1184.795148904528,1.1367743405915112,0.16782123668642823,0.7684108168289321
305,2814.3195891946652,1.3846446803060044,0.20441416939383453,0.8623433534046315
306,2527.426343024904,1.3217817699143959,0.1951337599168416,0.8506696269427172
307,4083.1360236050127,1.6606798341093891,0.24516505479480852,0.902748462009715
308,3045.1105066811247,1.5259761320549705,0.2252788372247939,0.8709007644368866
309,2799.066937307205,1.4697950437461373,0.21698486067930658,0.8617533210934566
310,1493.1677851794607,1.1525790678528882,0.17015447801655526,0.7935271528829281
311,22.966230336018675,1.0467705898755963,0.1545340430788541,0.3402724290488835
312,22.966230336018675,1.0467705898755963,0.1545340430788541,0.3402724290488835
313,129.89203406364726,1.1003367229760364,0.162441975533371,0.5283956294382302
314,153.4985722240577,1.1452952216963468,0.1690791686731121,0.5465260850541206
315,129.89203406364726,1.1003367229760364,0.162441975533371,0.5283956294382302
316,2437.4698276783647,1.36918025423216,0.20213116650074672,0.8467348121178853
317,1684.1853932081785,1.2014145901673614,0.17736403356016298,0.8065974741091408
318,37.41606671972284,1.0488687164522528,0.1548437881040945,0.39326453283200224
319,52.85584958402813,1.0937286718694714,0.16146643336181407,0.43077326447417086
320,1164.6214695722058,1.31751946559895,0.19450451877740857,0.766546197995207
321,894.204324223594,1.217627410193942,0.17975752135266493,0.7378591914282684
322,792.4601380084631,1.170012915032883,0.17272822523223091,0.724744356435898
323,1069.0639491874722,1.2699049704378913,0.18747522265697456,0.7572509211451716
324,763.3179262015462,1.1677859570075715,0.17239946090626795,0.7206763654313078
325,763.3179262015462,1.1677859570075717,0.17239946090626798,0.7206763654313078
326,1790.658383604421,1.2080569737205036,0.17834464420787857,0.8132531850905849
327,4730.631326929208,1.9406189274845127,0.2864922761874424,0.9187297758559823
328,2872.5831035533515,1.4026659568848894,0.2070746384193431,0.8645681504099312
329,2142.734859189979,1.3132294270478932,0.19387118325129513,0.8327421087526791
330,2048.3333571854546,1.357171032313114,0.20035825308941185,0.8278501593900043
331,1340.7247427505276,1.1476300652243951,0.16942386006379084,0.7818349060633739
332,360.95914761596265,1.1547911129468365,0.1704810407564209,0.6393645131018189
333,360.95914761596265,1.1547911129468365,0.1704810407564209,0.6393645131018189
334,360.95914761596265,1.1547911129468365,0.1704810407564209,0.6393645131018189
335,360.95914761596265,1.1547911129468365,0.1704810407564209,0.6393645131018189
336,487.140541010041,1.060429239135399,0.1565504603469053,0.6719135685273573
337,2079.868941395078,1.3524642401078597,0.19966339249966558,0.8295089924159101
338,360.95914761596265,1.1547911129468367,0.17048104075642093,0.6393645131018189
339,360.95914761596265,1.1547911129468365,0.1704810407564209,0.6393645131018189
340,360.95914761596265,1.1547911129468365,0.1704810407564209,0.6393645131018189
341,360.95914761596265,1.1547911129468365,0.1704810407564209,0.6393645131018189
342,1151.9713545484262,1.1738231574205051,0.17329072877117696,0.7653604199635897
343,4333.7712012945985,1.7090711722145104,0.252309035720246,0.9092164948217366
344,1105.620891541842,1.128810142021727,0.16664548737060358,0.7609015591074807
345,2334.4644070950103,1.2854596360013106,0.18977154754564027,0.8420468141886732
346,3011.1780290701854,1.4209029710383418,0.20976695663890085,0.8696841082369707
347,2334.4644070950103,1.2854596360013095,0.1897715475456401,0.8420468141886732
348,1755.1082344418717,1.2902787223661927,0.1904829860471747,0.8110759759513795
349,1755.108234441872,1.2902787223661927,0.1904829860471747,0.8110759759513795
350,1817.2759678792336,1.3356008938471156,0.19717386795367967,0.8148552208510155
351,1755.108234441872,1.290278722366193,0.19048298604717473,0.8110759759513795
352,1755.1082344418717,1.290278722366193,0.19048298604717473,0.8110759759513795
353,1755.108234441872,1.290278722366193,0.19048298604717473,0.8110759759513795
354,103.8973578295261,1.0981308158956038,0.16211631894434128,0.5041511258338385
355,103.8973578295261,1.0981308158956036,0.16211631894434125,0.5041511258338385
356,103.8973578295261,1.0981308158956038,0.16211631894434128,0.5041511258338385
357,559.7047167305801,1.2070640104549872,0.1781980537041587,0.6869897416996288
358,559.7047167305801,1.2070640104549872,0.1781980537041587,0.6869897416996288
359,346.0206735878232,1.1078652693008735,0.16355340979923225,0.634775511805775
360,483.202923326287,1.1596807814487617,0.17120289925170748,0.6710323882641105
361,483.2029233262869,1.159680781448762,0.1712028992517075,0.6710323882641105
362,4158.143627385593,1.7764745256254486,0.26225974776776645,0.904724871579774
363,863.0974072468857,1.0793743751172327,0.15934731811905514,0.7340149529967614
364,1064.4978368184463,1.129857351338069,0.16680008618257766,0.7567861958097745
365,1064.4978368184463,1.1298573513380687,0.16680008618257763,0.7567861958097745
366,103.8973578295261,1.0981308158956038,0.16211631894434128,0.5041511258338385
367,103.8973578295261,1.0981308158956036,0.16211631894434125,0.5041511258338385
368,103.8973578295261,1.0981308158956038,0.16211631894434128,0.5041511258338385
369,500.4229080688973,1.1130172052018803,0.16431398665548524,0.6748342955891752
370,1495.673083443446,1.1797270558898136,0.17416231735917667,0.7937091695098109
371,2294.721783821377,1.3919801121422832,0.20549709429672489,0.8401825096060604
372,103.8973578295261,1.0981308158956038,0.16211631894434128,0.5041511258338385
373,103.8973578295261,1.0981308158956036,0.16211631894434125,0.5041511258338385
374,103.8973578295261,1.0981308158956038,0.16211631894434128,0.5041511258338385
375,2888.5989720909906,1.455518324266725,0.21487719811752362,0.8651718130919653
376,2888.598972090992,1.455518324266726,0.2148771981175238,0.8651718130919654
377,3051.9505166058307,1.551264972962525,0.22901221191837098,0.8711443719554378
